Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
aðgreinandi|na||Eintala||||aðgreinir, aðskilja ({\it kvk.})||||discriminant|||||||
aðskilnaðarstærð|na|kvk|Eintala||||||||discriminator|||||||
aðskilnaðargreining|na|kvk|Eintala||||||||discriminatory analysis||||discriminance analysis, discriminant analysis|||
aðskilnaðarstyrkur|na|kk|Eintala||||||||discriminatory power|||||||
aðgreina|sag||Eintala|||||||separate|distinguish|||||||
andhverf vensl|na|hk|Fleirtala||||||||dual||||inverse relation|||
atburður|na|kk|Eintala||||atvik, tilvik||||event|||||||
alls staðar samleitinn|ls|kk|Eintala||||alstaðar samleitinn||||everywhere convergent|||||||
alls staðar þéttur|ls|kk|Eintala||||alstaðar þéttur||||everywhere dense|||||||
aðfaldaður|ls|kk|Eintala||||hrópmerktur||||factorial|||||||
aðfeldisfall|na|hk|Eintala|||||||gamma function|factorial function||||factorial|||
aðfeldi|na|hk|Eintala||||hrópmerkt tala|||factorial|factorial number||||factorial|||
aðfeldaröð|na|kvk|Eintala||||||||factorial series|||||||
afsannanleiki|na|kk|Eintala||||||||falsifiability|||||||
aðlaga|sag||Eintala||||||||fit|||||||
aðlögun|na|kvk|Eintala|||||||curve fitting|fitting|||||||
andhverfuregla Fouriers|na|kvk|Eintala||||||||Fourier inversion formula|||||||
almenn línuleg grúpa|na|kvk|Eintala||||||||full linear group||||general linear group|||
almennur|ls|kk|Eintala|||||||general case, general term|general|||||||
alhæfur|ls|kk|Eintala||||altækur|||general proposition|general|||||||
almenn algebrujafna|na|kvk|Eintala||||almenn margliðujafna||||general algebraic equation|||||||
almennt tilfelli|na|hk|Eintala||||almennt tilvik||||general case|||||||
almenn samfellutilgáta|na|kvk|Eintala||||alhæfð samfellutilgáta|||Cantor's continuum hypothesis, GCH|general continuum hypothesis||||generalized continuum hypothesis|||
alhæft meðaltal|na|hk|Eintala||||||||general mean|||||||
almennur punktur|na|kk|Eintala||||||||general point||||generic point|||
almenn staða|na|kvk|Eintala||||||||general position|||||||
altæk fullyrðing|na|kvk|Eintala||||alhæf fullyrðing||||general proposition|||||||
almennur liður|na|kk|Eintala||||||||general term|||||||
almenna afstæðiskenningin|na||Eintala||||||||general theory of relativity|||||||
almenn grannfræði|na|kvk|Eintala||||mengjagrannfræði||||general topology||||point set topology, set topology|||
alhæfi|na||Eintala||||altæki||||generality|||||||
alhæfing|na|kvk|Eintala||||||||generalization|||||||
alhæfa|sag||Eintala||||||||generalize|||||||
alhæfður|ls|kk|Eintala||||||||generalized||||general|||
alhæfð runa|ls|hk|Fleirtala||||nót, net||||generalized sequence||||net|||
almennt|at|hk|Eintala||||að jafnaði||||generally||||in general|||
almennur ferill|na|kk|Eintala||||||||generic curve|||||||
aðlögunarpróf|na|hk|Eintala||||mátunarpróf||||goodness of fit test|||||||
alsamleitnihálfslétta|na|kvk|Eintala||||||||half-plane of absolute convergence|||||||
aðgreiningareiginleiki Hausdorffs|na|kk|Eintala||||frumsenda Hausdorffs, frumsetning Hausdorffs||||Hausdorff separation axiom|||||||
arfgengur eiginleiki|na|kk|Eintala||||||||hereditary property|||||||
annars stigs háflötur|na||Eintala||||ferningsháflötur||||hyperquadric||||quadric|||
aljafna|na||Eintala||||||||identity|||||||
arftekinn|ls|kk|Eintala||||einskorðaður||||induced|||||||
