Hugtök: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
aftasti tölustafur,na,kk,Eintala,,,,,,,most significant digit,least significant digit,,,,,,,,135
afturfærsla,na,kvk,Eintala,,,,,,,,backward shift,,,,,,,,136
afturinnsetning,na,kvk,Eintala,,,,endurinnsetning,,,forward substitution,back substitution,,,,inverse calculation,,,,137
afturmunur,na,kk,Eintala,,,,,,,,ascending difference,,,,backward difference,,,,138
afturvirk skekkjugreining,na,kvk,Eintala,,,,,,,,backward error analysis,,,,,,,,139
afvinding,na,kvk,Eintala,,,,,,,,unwinding,,,,,,,,140
af handahófi,,,Eintala,,,,,,,,at random,,,,,,,,99
Agnesarhaddur,na,kk,Eintala,,,,,,,,Agnesi versiera,,,,"versiera, witch of Agnesi",,,,141
alef,na,,Eintala,,,,,,,"infinite cardinal, transfinite cardinal",aleph,,,,,,,,161
Aleksandrov-þjöppun,na,kvk,Eintala,,,,einspunktsþjöppun,,,,Alexandroff compactification,,,,one-point compactification,,,,162
alflokkur,na,kk,Eintala,,,,alheimsflokkur,,,,universal class,,,,,,,,163
algebra með einingarstaki,na,kvk,Eintala,,,,,,,,unitary algebra,,,,,,,,164
algebra,na,kvk,Eintala,,,,algefra,,,,algebra,,,,,,,,165
algebruferill,na,kk,Eintala,,,,algebrulegur ferill,,,,algebraic curve,,,,,,,,166
algebruflötur,na,kk,Eintala,,,,algebrulegur flötur,,,,algebraic surface,,,,,,,,167
algebrugrannfræði,na,kvk,Eintala,,,,algebruleg grannfræði,,,,algebraic topology,,,,,,,,168
algebrujafna,na,kvk,Eintala,,,,"algebruleg jafna, margliðujafna",,,polynomial equation,algebraic equation,,,,,,,,169
algebrulega háður,ls,kk,Eintala,,,,,,,,algebraically dependent,,,,,,,,177
algebrulega lokaður,ls,kk,Eintala,,,,,,,,algebraically closed,,,,algebraically complete,,,,178
algebrulega óháður,ls,kk,Eintala,,,,,,,,algebraically independent,,,,,,,,179
algebrulega samoka stak,na,hk,Eintala,,,,samoka stak,,,conjugate algebraic number,algebraic conjugate,,,,,,,,180
algebrulegt fall,na,hk,Eintala,,,,,,,,algebraic function,,,,,,,,181
algebrulegt mengi,na,hk,Eintala,,,,,,,,algebraic set,,,,,,,,182
algebrulegt rúm,na,hk,Eintala,,,,,,,,algebraic space,,,,,,,,183
algebrulegt talnasvið,na,,Eintala,,,,"talnasvið, talnakroppur",,,,algebraic number field,,,,number field,,,,184
algebrulegt varpvíðerni,na,hk,Eintala,,,,,,,,projective algebraic variety,,,,,,,,185
algebrulegt víðerni,na,hk,Eintala,,,,,,,,algebraic variety,,,,,,,,186
algebrulegur sléttuferill,na,kk,Eintala,,,,,,,,algebraic plane curve,,,,,,,,187
algebrulegur,ls,kk,Eintala,,,,algebru-,,,,algebraic,,,,algebraical,,,,188
algebruleg heiltala,na,kvk,Eintala,,,,heil algebruleg tala,,,,algebraic integer,,,,,,,,170
algebruleg lokun,na,kvk,Eintala,,,,,,,,algebraic closure,,,,,,,,171
algebruleg margfeldni,na,kvk,Eintala,,,,,,,,algebraic multiplicity,,,,,,,,172
algebruleg stæða,na,kvk,Eintala,,,,stæða,,,expression,algebraic expression,,,,,,,,173
algebruleg tala,na,kvk,Eintala,,,,algebrutala,,,,algebraic number,,,,,,,,174
algebruleg útvíkkun,na,kvk,Eintala,,,,algebruleg víkkun,,,,algebraic extension,,,,,,,,175
algebruleg víðátta,na,kvk,Eintala,,,,,,,"non-singular algebraic variety, regular algebraic variety",algebraic manifold,,,,,,,,176
algebrumótun,na,kvk,Eintala,,,,,,,,algebra homomorphism,,,,,,,,189
algebrumynstur,na,hk,Eintala,,,,algebrulegt mynstur,,,,algebraic structure,,,,,,,,190
algebrurúmfræði,na,kvk,Eintala,,,,algebruleg rúmfræði,,,,algebraic geometry,,,,,,,,191
algebrutalnafræði,na,kvk,Eintala,,,,algebruleg talnafræði,,,,algebraic number theory,,,,algebraic theory of numbers,,,,192
algengasta gildi,na,hk,Eintala,,,,líklegasta gildi,,,,modal value,,,,"mode, most probable value",,,,193
algildisflötur,na,kk,Eintala,,,,,,,,modular surface,,,,relief,,,,195
algildismerki,na,hk,Eintala,,,,tölugildismerki,,,,absolute value sign,,,,,,,,196
algildisminnsta leif,na,kvk,Eintala,,,,,,,,least absolute remainder,,,,minimal residue,,,,197
algildisvægi,na,hk,Eintala,,,,alvægi,,,,absolute moment,,,,,,,,198
algildi,na,hk,Eintala,,,,"lengd, tölugildi",,,"modulus, valuation",(of a number) absolute value,,,,numerical value,,,,194
algjörlega ósamanhangandi,ls,kk,Eintala,,,,algjörlega ósamhangandi,,,,totally disconnected,,,,,,,,199
algjörlega ósamfelldur,ls,kk,Eintala,,,,,,,,absolutely discontinuous,,,,completely discontinuous,,,,200
algjörlega takmarkaður,ls,kk,Eintala,,,,algjörlega skorðaður,,,,totally bounded,,,,,,,,201
alheildanlegur,ls,kk,Eintala,,,,altegranlegur,,,,absolutely integrable,,,,,,,,209
alheimur,na,kk,Eintala,,,,,,,,universe,,,,,,,,210
alhæfa,sag,,,,,,,,,,generalize,,,,,,,,202
