Hugtök: is,Val: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Val: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
samsvörun,0,na,kvk,Eintala,<ref idTerm=5705>Tvístæð vensl</ref> milli tveggja <ref idTerm=3270>mengja</ref> þar sem sérhvert <ref idTerm=5128>stak</ref> í öðru hvoru menginu er venslað við nákvæmlega eitt stak í hinu menginu.,Ef við lítum á <ref idTerm=3282>vörpun</ref> milli mengja \(X\) og \(Y\) sem vensl þá jafngildir samsvörun milli \(X\) og \(Y\) <ref idTerm=1586>gagntækri vörpun</ref>.,,,,,,correspondence,0,,,,,,,,4541
samsömun,0,na,kvk,Eintala,,,,,,,,identification,0,,,,,,,,4531
"samtakagrannfræði, samtektagrannfræði, fléttugrannfræði",0,na,kvk,Eintala,,,,,,,,combinatorial topology,0,,,,,,,,4542
"samtakarúmfræði, samtektarúmfræði, flétturúmfræði",0,na,kvk,Eintala,,,,,,,,combinatorial geometry,0,,,,,,,,4543
"samtenging, tenging, tengill",0,na,,Eintala,,,,,,,,"connective, connective symbol, propositional connective, sentential connective, truth-functional connective",0,,,,,,,,4544
samtoga,0,ls,,,,,,,,,,homotopic,0,,,,,,,,4545
"samtogunarflokkur, togflokkur",0,na,kk,Eintala,,,,,,,,homotopy class,0,,,,,,,,4547
"samtogunarlyfting, togunarlyfting",0,na,kvk,Eintala,,,,,,,,homotopy lifting,0,,,,,,,,4548
"samtogun, togun",0,na,kvk,Eintala,,,,,,,isotopy,"homotopy, homotopic deformation",0,,,,,,,,4546
samur,0,ls,kk,Eintala,,,,,,,"equal, identical",same,0,,,,,,,,4549
"samur, alsamur, aljafn",0,ls,kk,Eintala,,,,,,,same,"equal, identical, identically equal",0,,,,,,,,4550
"samþáttur, sameiginlegur þáttur",0,na,kk,Eintala,,,,,,,,(in number theory) common factor,0,,,,,,,,4553
samþætting,0,na,kvk,Eintala,,,,,,,,confounding,0,,,,,,,,4551
samþættur,0,ls,kk,Eintala,,,,,,,,confounded,0,,,,,,,,4552
sanna,0,sag,,,,,,,,,,"demonstrate, prove",0,,,,,,,,4554
sannanafræði,0,na,kvk,Eintala,,,,,,,,proof theory,0,,,,,,,,4555
sannanlegur,0,ls,kk,Eintala,,,,,,,,"demonstrable, provable",0,,,,,,,,4557
"sannanleg segð, sannanleg yrðing, sannanleg fullyrðing",0,na,kvk,Eintala,,,,,,,theorem,provable formula,0,,,,,,,,4556
sannanleiki,0,na,kk,Eintala,,,,,,,,"demonstrability, provability",0,,,,,,,,4558
sannfall,0,na,hk,Eintala,,,,,,,,truth function,0,,,,,,,,4559
sanngildi,0,na,hk,Eintala,Í <ref idTerm=4642>sígildri rökfræði</ref> er sérhver <ref idTerm=1515>yrðing</ref> annaðhvort \textit{sönn} eða \textit{ósönn} en kallast það \textit{sanngildi} yrðingarinnar.,"Sanngildi eru ýmist táknuð með \(1,T\) eða \(\top\) þegar um sannar yrðingar er að ræða en annars \(0,F\) eða \(\bot\).",,,,,,truth value,0,,,,,,,,4560
sanngjarn leikur,0,na,kk,Eintala,,,,,,,unfair game,fair game,0,,,,,,,,4561
"sannleikapróf, sannpróf",0,na,hk,Eintala,,,,,,,,truth criterion,0,,,,,,,,4562
sannleiki,0,na,kk,Eintala,,,,,,,,"truth, validity",0,,,,,,,,4563
sanntafla,0,na,kvk,Eintala,,,,,,,,truth table,0,,,,,,,,4564
sannur,0,ls,kk,Eintala,Sjá <ref idTerm=4560>sanngildi</ref>.,,,,,,,TRUE,0,,,,,,,,6659
sáldur,0,na,hk,Eintala,,,,,,,,sieve,0,,,,,,,,4314
sáldur Eratosþenesar,0,na,hk,Eintala,,,,,,,,"crib of Eratosthenes, sieve of Eratosthenes",0,,,,,,,,4315
segð,0,na,kvk,Eintala,,,,,,,"meaningful formula, proposition, sentence, statement, well-formed formula",(in logic) formula,0,,,,,,,,4566
seinni teljanleikafrumsendan,0,na,kvk,Eintala,,,,,,,,second axiom of countability,0,,,,,,,,4567
seintekinn,0,ls,kk,Eintala,,,,,,,coinitial,cofinal,0,,,,,,,,4568
sekans,0,na,kk,Eintala,,,,,,,sec,secant,0,,,,,,,,4569
sekúnda,0,na,kvk,Eintala,,,,,,,"centesimal second, sexagesimal second",second,0,,,,,,,,4570
"sekúnda, hornsekúnda, bogasekúnda",0,na,kvk,Eintala,,,,,,,"second of angle, second of arc",sexagesimal second,0,,,,,,,,4571
sem gera átti,0,,,,,,,,,,q. e. f.,quod erat faciendum,0,,,,,,,,4572
sem sanna átti,0,,,,,,,,,,q. e. d.,quod erat demonstrandum,0,,,,,,,,4573
"sem snertir að innan, sem snertir að innanverðu",0,,,,,,,,,,,internally tangent,0,,,,,,,,4574
